Row,F_peak,X_Peak,F_Seat,X_Seat
Predicted,30.7534614434219,3.21416938570749,9.51201373401003,5.09939060397427
Measured (Storage),42.3001298649991,4.19806068291989,17.7960012734819,5.91933776983088
% Difference (Storage),-37.5459147674155,-30.6110593171437,-87.0897348460785,-16.0793167171303
Measured (Release),28.5695734099018,4.0757191020614,17.7514556597278,5.91933776983088
% Difference (Release),7.10127553458607,-26.8047390465785,-86.621425873869,-16.0793167171303
