compound_x_in,compound_lbf,straight_x_in,compound_lbf
10.322311558823568,0.7546066297355409,10.551550631331015,0.6286108086767044
10.886795961553329,1.2020481407901613,11.635868387517451,1.8447172802136294
12.201112358308254,4.276328561763293,14.45827876819045,6.676327827073642
13.466170955617788,8.546094920171086,14.931850454249027,7.756503581145488
14.24650095,11.245801313655974,15.392348647258139,8.887044895
14.481402564502027,12.40136896820706,15.799433306948284,9.967540316009014
14.85714403293462,14.039314757576122,16.18672711536385,11.006288665383835
15.375075582907886,16.56738051278645,16.57378217,12.10263527303784
16.11929952,20.464304512439057,16.95444598588359,13.166314084595328
16.286217417353118,21.75308259953217,17.318633353789977,14.216058850841733
16.43661881696521,22.90726726849043,17.67754790284465,15.220661678472077
16.636153945860382,24.461236645599485,18.06070424016151,16.370405558977247
16.8503526,25.879211748122497,18.39414064557916,17.549207399888715
16.992545669984654,27.143236966289226,19.742183814787396,21.903594497354128
17.14094630052576,28.297838114300646,20.690836277174796,25.00482606367828
17.289576893053145,29.741655472996307,21.031942401158247,26.16445899217679
17.47159785664357,31.013241180856944,21.366656581262067,27.291592054475387
17.569864394863725,32.29239838110102,21.728891731245927,28.274335982752117
17.702509617352565,33.451894705668316,22.475073644180693,30.709663896964212
18.155247271828852,37.691464498448994,23.270214607271036,33.157933379525886
18.310130316276776,38.808086661190075,24.083201187646836,35.66125752103578
18.704415004009242,41.26684245327267,24.496988176713316,36.85633137090424
18.890489951758312,42.62390083051595,25.311114821479514,39.31951382423921
20.84999072,49.74344659232188,25.914529760073588,41.48403069970422
21.649567835332466,48.65400068724013,26.21332197088532,42.60378285724764
22.079291521529115,47.75056759720487,26.867834320420048,44.893540524940455
22.528757814080127,46.84133948098304,27.14862048766999,46.03962858617604
24.50421509352617,39.26394073413692,27.36053639706236,47.18002707907535
24.986664699422015,36.50345492184386,27.65634830424634,48.19070047455842
25.252860313229302,35.15354786817396,27.92884355775976,49.37167430362506
25.945933449975296,31.02870179839673,28.183547629054022,50.48668850305838
26.27781358721065,28.979345094186755,28.399556312505144,51.594597478500965
26.442035642126143,27.74458234986862,28.7360215,52.93763324972025
28.40248937147641,28.02878273497614,29.005886671501575,54.15928176749313
29.155337676643025,31.441645077770687,29.149236547054468,55.24668302310917
29.364857574703027,32.24972987971708,11.03114120452863,1.2371844074673106
29.51440516131554,33.24369773386023,12.165218344801115,2.641074316730169
11.696455494942292,3.230111845171187,12.679623893198826,3.5407357657830474
11.28608240357466,2.2326201376134236,13.142630006304994,4.340510978919376
12.567367526522109,5.622584226541292,13.502426053345758,5.039714630335247
13.028317662216619,6.918363990240955,13.91403273116039,5.739603607555033
13.844951890128566,9.905356506483173,18.73201019764796,18.402539817429194
15.066202472655501,15.278653471860515,19.08933907179473,19.696948929521085
15.625428328627425,17.865415718632633,19.447490336906164,20.79295622138764
15.878724745744123,19.25765508922941,20.060582801063624,22.88439924340031
17.785027001836674,34.36223580690259,20.41873406617506,23.98040653526686
17.88371391759642,35.55401737986237,22.157268565476024,29.558958578908403
17.983223224320838,36.54739713259683,22.87274870473423,31.949374982866843
18.43553825488637,39.92639600866251,23.640450670248633,34.241275802516505
20.262479782888782,49.17675237808052,24.920091011266752,38.02804353189505
19.95449436662189,48.47823405246853,25.635159955042624,40.517660845966155
21.350091833657718,49.29034513007482,26.50319361824611,43.60453959812493
22.86658077249924,45.937388634556854,,
23.182790098412777,44.65188876,,
23.49817703336166,43.564790701499476,,
23.761753337536664,42.47700731927957,,
24.02574084,41.29002303,,
24.23709532,40.30075522903587,,
24.765481509909808,37.82758573425805,,
25.50810055100194,33.670742070780435,,
25.720688615367745,32.38387154253131,,
26.14504235313468,30.008532306258385,,
26.77951698237342,26.941528002412337,,
27.19523561501137,26.649407878505432,,
27.764741358041615,26.756147372460852,,
28.124537405082368,27.455351023876737,,
28.58466514981222,28.949532607801736,,
28.789029304531365,29.646680281805956,,
28.940760437511994,30.541544450231626,,
29.598673209243668,34.32008826996353,,
19.497656185750703,46.19044518764219,,
19.345513857287752,45.394781929329184,,
19.194193919789466,44.40071685079085,,
18.99065215603498,43.505167356561294,,
19.700375558540525,47.28439650209708,,
